category,value,count
effective_tier,T1,13
effective_tier,T2,1
effective_tier,T3,2
final_claim,E1,6
final_claim,E2-PD,2
final_claim,E2-PI,5
final_claim,E3,2
final_claim,E4,1
label_audit,clinical_record_verified_no_precise_timing,1
label_audit,expert_adjudicated_onset_offset,13
label_audit,proxy_or_device_label,1
label_audit,unaudited_or_unknown,1
present_sentinel,DENOMINATOR_RESTRICTION,1
present_sentinel,DEVICE_MISSINGNESS,3
present_sentinel,FAR_EXPLOSION,1
present_sentinel,HARDWARE_UNMEASURED,3
present_sentinel,LABEL_UNAUDITED,2
present_sentinel,PATIENT_LEAKAGE,1
present_sentinel,POST_EVENT_ALARM,1
present_sentinel,SPLIT_NONCOMPLIANT,2
split_policy,external_dataset,2
split_policy,leave_one_subject_out,5
split_policy,patient_dependent,1
split_policy,patient_independent,3
split_policy,prospective_multisite,2
split_policy,synthetic_or_demo,1
split_policy,temporal_within_patient,2
track,D,10
track,E,1
track,F,3
track,W,2
