iteration,batch_latency_ms
0,0.0596
1,0.0612
2,0.0664
3,0.0506
4,0.0478
5,0.0636
6,0.063
7,0.0465
8,0.0508
9,0.0469
10,0.0526
11,0.0568
12,0.0527
13,0.1061
14,0.1404
15,0.1021
16,0.0636
17,0.0464
18,0.0634
19,0.05
20,0.0572
21,0.0525
22,0.0591
23,0.0434
24,0.0432
25,0.0436
26,0.0439
27,0.0509
28,0.0437
29,0.0437
30,0.0434
31,0.0592
32,0.0463
33,0.0467
34,0.0569
35,0.0435
36,0.044
37,0.0432
38,0.0437
39,0.0431
40,0.044
41,0.0428
42,0.0435
43,0.0593
44,0.0454
45,0.0451
46,0.045
47,0.0452
48,0.0565
49,0.0615
50,0.0588
51,0.0441
52,0.0653
53,0.0585
54,0.0623
55,0.0777
56,0.0621
57,0.0585
58,0.0444
59,0.0438
60,0.0436
61,0.0441
62,0.0434
63,0.0438
64,0.0442
65,0.0481
66,0.0713
67,0.0478
68,0.0717
69,0.0462
70,0.0466
71,0.0479
72,0.0467
73,0.0457
74,0.1029
75,0.1258
76,0.0908
77,0.0495
78,0.0487
79,0.0455
80,0.0459
81,0.0489
82,0.0471
83,0.0491
84,0.0468
85,0.0466
86,0.047
87,0.0465
88,0.0463
89,0.0465
90,0.0481
91,0.0456
92,0.06
93,0.0478
94,0.0474
95,0.0514
96,0.0463
97,0.0454
98,0.0455
99,0.0453
100,0.0458
101,0.0454
102,0.0455
103,0.0454
104,0.0464
105,0.0473
106,0.0457
107,0.0463
108,0.0459
109,0.0454
110,0.0465
111,0.0467
112,0.0455
113,0.0568
114,0.0483
115,0.0629
116,0.0548
117,0.0462
118,0.0452
119,0.0452
120,0.045
121,0.0457
122,0.0454
123,0.0458
124,0.0471
125,0.0459
126,0.0455
127,0.0549
128,0.0629
129,0.052
130,0.0483
131,0.0554
132,0.0496
133,0.0477
134,0.0519
135,0.0917
136,0.141
137,0.1125
138,0.0509
139,0.0503
140,0.0462
141,0.0482
142,0.0478
143,0.0458
144,0.0899
145,0.1145
146,0.0875
147,0.0483
148,0.0459
149,0.0475
150,0.0507
151,0.0448
152,0.0453
153,0.0448
154,0.0452
155,0.0446
156,0.0465
157,0.0455
158,0.0449
159,0.0456
160,0.0451
161,0.0453
162,0.0456
163,0.0446
164,0.0453
165,0.0452
166,0.0458
167,0.0502
168,0.0474
169,0.0753
170,0.0451
171,0.0561
172,0.0431
173,0.0431
174,0.0435
175,0.044
176,0.0439
177,0.0433
178,0.0431
179,0.0441
180,0.0432
181,0.0439
182,0.0426
183,0.0426
184,0.0603
185,0.0731
186,0.0585
187,0.0605
188,0.0458
189,0.0449
190,0.0457
191,0.046
192,0.0446
193,0.0456
194,0.0454
195,0.0445
196,0.0947
197,0.1182
198,0.0943
199,0.0477
